Id,Beneficiary_Name,Date,Direction,Amount,Description,Currency,Mcc,Kind,Catcode,code,parent_code,name
16410046,Protetcta,10/12/2021 02:00:00,d,27.5,Doctor's appointment,USD,8011,pmt,,,,
16506265,Precision Optics,09/02/2021 02:00:00,d,125.5,Sun glasses,USD,,pmt,,,,
16642307,MetLife,04/17/2021 02:00:00,d,201,Life insurance premium,USD,6300,pmt,,,,
16725691,Fit and Fun,05/26/2021 02:00:00,d,24.3,Gym membership,USD,,pmt,,,,
16816038,Josh,10/27/2021 02:00:00,d,39.2,Allowance,USD,,pmt,,,,
16871465,,10/15/2021 02:00:00,d,242.6,ATM withdrawal,USD,,wdw,,,,
16932601,Medilife,02/20/2021 01:00:00,d,42.8,General Practitioner,USD,8011,pmt,,,,
17079478,Bank of America,09/12/2021 02:00:00,d,2.8,ATM withdrawal fee,USD,,fee,,,,
17255605,Delhaize,04/23/2021 02:00:00,d,90.2,Supermaket shopping,USD,5200,pmt,,,,
17317872,Home cleaning service,08/13/2021 02:00:00,d,45.4,Cleaning,USD,,pmt,,,,
17441792,Pet salon Rex,09/28/2021 02:00:00,d,10.5,Grooming,USD,,pmt,,,,
17453807,Pet shop,08/16/2021 02:00:00,d,21.6,Shopping,USD,5995,pmt,,,,
17470795,Earnest,12/07/2021 01:00:00,d,15.8,Charge pay,USD,,fee,,,,
17484730,Emmezeta,01/09/2021 01:00:00,d,41.9,Appliances,USD,5712,pmt,,,,
17498427,Spotify,02/09/2021 01:00:00,d,16,Apple music subscription,USD,5733,pmt,,,,
17603597,Blue moon spa,09/07/2021 02:00:00,d,21.6,Spa treatment,USD,8050,pmt,,,,
17750470,Office365,04/17/2021 02:00:00,d,19,TV,USD,5045,pmt,,,,
17757610,Serenity Wellnes,08/17/2021 02:00:00,d,23,Massage,USD,8050,pmt,,,,
18237211,Hulu,03/16/2021 01:00:00,d,9.5,Netflix subscription,USD,,pmt,,,,
18400415,MasterCard,09/13/2021 02:00:00,d,79.3,Pay with Visa,USD,,pmt,,,,
18548250,Home cleaning service,10/20/2021 02:00:00,d,46.5,Cleaning,USD,,pmt,,,,
18570037,Generali,03/24/2021 01:00:00,d,45.6,Extended health insurance,USD,,pmt,,,,
18617893,Hulu,08/08/2021 02:00:00,d,5.4,Hulu subscription,USD,,pmt,,,,
18628174,Blue moon spa,04/27/2021 02:00:00,d,21.5,Spa treatment,USD,8050,pmt,,,,
18644716,Raiffeisen Leasing,10/07/2021 02:00:00,d,450.1,Financial leasing,USD,7394,pmt,,,,
18731176,,01/18/2021 01:00:00,d,204.1,ATM withdrawal,USD,,wdw,,,,
18912877,Lidl,02/24/2021 01:00:00,d,89.5,Supermaket shopping,USD,5200,pmt,,,,
15387438,Delhaize,04/20/2021 02:00:00,d,37.7,Supermaket shopping,USD,5499,pmt,38,,,
16071863,Lidl,11/26/2021 01:00:00,d,33.7,Supermaket shopping,USD,5499,pmt,38,,,
16419247,Lidl,01/07/2021 01:00:00,d,33.1,Supermaket shopping,USD,5499,pmt,38,,,
16530178,Lidl,04/01/2021 02:00:00,d,34.3,Supermaket shopping,USD,5499,pmt,38,,,
17871871,Delhaize,03/22/2021 01:00:00,d,34,Supermaket shopping,USD,5499,pmt,38,,,
18068621,Delhaize,11/20/2021 01:00:00,d,33.9,Supermaket shopping,USD,5499,pmt,38,,,
19088602,Delhaize,01/03/2021 01:00:00,d,33.5,Supermaket shopping,USD,5499,pmt,38,,,
18122741,City parkings,02/23/2021 01:00:00,d,2,Parking fee,USD,7523,pmt,5,,,
18103482,Table tenis club PingPong,08/26/2021 02:00:00,d,12.1,Table tennis 2 hrs,USD,5655,pmt,50,,,
16431877,New York Times,07/22/2021 02:00:00,d,4.9,New York Times,USD,5192,pmt,23,,,
17360272,New York Times,10/23/2021 02:00:00,d,5.2,National Geographic,USD,5192,pmt,23,,,
15721708,Music school,10/09/2021 02:00:00,d,176.3,Tuition,USD,8299,pmt,17,,,
15179953,T-Mobile,10/02/2021 02:00:00,d,14.8,Mobile phone bill,USD,,pmt,C,,,
15986259,Tele9,10/15/2021 02:00:00,d,14.5,Television bill,USD,,pmt,C,,,
17563885,Orange,07/21/2021 02:00:00,d,34.7,Internet bill,USD,,pmt,C,,,
18052882,A1 Telecom,09/03/2021 02:00:00,d,17.1,Mobile phone bill,USD,,pmt,C,,,
18112493,T-Mobile,06/26/2021 02:00:00,d,16,Mobile phone bill,USD,,pmt,C,,,
18709472,A1 Telecom,01/06/2021 01:00:00,d,6.9,Phone bill,USD,,pmt,C,,,
18794635,T-Mobile,09/07/2021 02:00:00,d,16.9,Mobile phone bill,USD,,pmt,C,,,
18846955,A1 Telecom,04/20/2021 02:00:00,d,12.5,Mobile phone bill,USD,,pmt,C,,,
15233362,Hertz,04/08/2021 02:00:00,d,11.8,Taxi,USD,7519,pmt,B,,,
16228661,Hertz,04/16/2021 02:00:00,d,10.2,Car rent,USD,7519,pmt,B,,,
19124644,Generali,12/20/2021 01:00:00,d,45.1,Extended health insurance,USD,,pmt,,,,
19243824,Lily,11/23/2021 01:00:00,d,30.7,Medicine,USD,5912,pmt,,,,
19306119,Fit and Fun,01/14/2021 01:00:00,d,24.4,Personal trainer,USD,,pmt,,,,
19636514,Red Cross,11/14/2021 01:00:00,d,99.7,Charity,USD,,pmt,,,,
19845649,Home cleaning service,06/14/2021 02:00:00,d,46,Cleaning,USD,,pmt,,,,
20119018,Pet hotel Happy Dog,09/11/2021 02:00:00,d,100.1,Monthly stay,USD,5995,pmt,,,,
20242555,Travel house,04/02/2021 02:00:00,d,888.7,Vacation,USD,5962,pmt,,,,
20249039,Gift shop,12/28/2021 01:00:00,d,108.9,Birthday gifts,USD,5947,pmt,,,,
20480868,Johnson & Johnson,10/09/2021 02:00:00,d,69.8,Baby nursery,USD,,pmt,,,,
20563202,Shell,07/20/2021 02:00:00,d,72.9,Gasoline purchases,USD,5983,pmt,,,,
20667289,Amazon,12/13/2021 01:00:00,d,16,Amazon Kindle subscription,USD,,pmt,,,,
20670750,Revolut,01/10/2021 01:00:00,d,3.3,Revolut Silver subscription,USD,,fee,,,,
20694176,Home cleaning service,02/28/2021 01:00:00,d,47.8,Cleaning,USD,,pmt,,,,
20753352,Asseco,04/13/2021 02:00:00,c,2497.1,Salary,USD,,sal,,,,
21129807,PersonalLoans,11/19/2021 01:00:00,d,9.6,Charge pay,USD,,fee,,,,
21227361,Generali,04/24/2021 02:00:00,d,45.4,Extended health insurance,USD,,pmt,,,,
21296484,Intersport,08/13/2021 02:00:00,d,121.3,Hiking,USD,5941,pmt,,,,
21538025,Chevron,10/19/2021 02:00:00,d,43.4,Gasoline purchases,USD,5983,pmt,,,,
21844448,Earnest,03/04/2021 01:00:00,d,11.5,Charge pay,USD,,fee,,,,
21856282,Revolut,12/09/2021 01:00:00,d,3.9,ATM withdrawal fee,USD,,fee,,,,
22149999,Gift Voucher,04/18/2021 02:00:00,d,171.7,Birthday gifts,USD,5947,pmt,,,,
22308911,Barber shop,08/14/2021 02:00:00,d,29.6,Haircut,USD,7230,pmt,,,,
22332965,Generali,09/21/2021 02:00:00,d,45.1,Extended health insurance,USD,,pmt,,,,
23629944,Claire Stevens,02/05/2021 01:00:00,c,300.8,Monthly rent,USD,,dep,,,,
23828515,Netflix,07/27/2021 02:00:00,d,8.2,Hulu subscription,USD,,pmt,,,,
23988646,Coinbase,07/21/2021 02:00:00,c,515.1,Cryptocurrency sales,USD,,dep,,,,
23999951,Netflix,08/15/2021 02:00:00,d,9.1,Netflix subscription,USD,,pmt,,,,
24004997,Volvo service,07/24/2021 02:00:00,d,299.8,Regular service,USD,7538,pmt,,,,
24353202,Swimming school,07/11/2021 02:00:00,d,30.3,Club membership,USD,,pmt,,,,
24380867,Pet hotel Happy Dog,02/14/2021 01:00:00,d,100.5,Monthly stay,USD,5995,pmt,,,,
24415144,Wells Fargo,01/22/2021 01:00:00,d,64.1,Loan Payment,USD,,pmt,,,,
24419286,Claire Stevens,01/01/2021 01:00:00,c,300.1,Monthly rent,USD,,dep,,,,
24636611,Jill,10/19/2021 02:00:00,d,41.4,Allowance,USD,,pmt,,,,
24743691,Revolut,09/07/2021 02:00:00,d,5.9,Online banking fee,USD,,fee,,,,
24839524,Pet salon Rex,01/08/2021 01:00:00,d,10.3,Grooming,USD,,pmt,,,,
25031271,Springfield,11/04/2021 01:00:00,d,222.8,Fotwear,USD,,pmt,,,,
25121097,,03/18/2021 01:00:00,d,127.8,ATM withdrawal,USD,,wdw,,,,
25128541,MetLife,03/02/2021 01:00:00,d,200.5,Life insurance premium,USD,6300,pmt,,,,
25199888,Generali,07/27/2021 02:00:00,d,45.5,Extended health insurance,USD,,pmt,,,,
25290482,Bank of America,05/16/2021 02:00:00,d,5,Online banking fee,USD,,fee,,,,
25343631,Pet salon Rex,10/01/2021 02:00:00,d,10.5,Grooming,USD,,pmt,,,,
25468057,R-Pharm,09/10/2021 02:00:00,d,33.2,Home care,USD,5912,pmt,,,,
25511607,Pet salon Rex,08/08/2021 02:00:00,d,10,Grooming,USD,,pmt,,,,
25561285,Fit and Fun,01/16/2021 01:00:00,d,24.4,Gym membership,USD,,pmt,,,,
23499396,Delhaize,08/10/2021 02:00:00,d,41,Supermaket shopping,USD,5499,pmt,38,,,
23654702,Delhaize,09/26/2021 02:00:00,d,33.8,Supermaket shopping,USD,5499,pmt,38,,,
25268458,City parkings,12/21/2021 01:00:00,d,2.5,Parking fee,USD,7523,pmt,5,,,
22914665,National Geographic,09/15/2021 02:00:00,d,5.8,New York Times,USD,5192,pmt,23,,,
22968080,National Geographic,03/01/2021 01:00:00,d,4.2,New York Times,USD,5192,pmt,23,,,
25319112,New York Times,04/18/2021 02:00:00,d,5.5,New York Times,USD,5192,pmt,23,,,
22253331,Faculty of contemporary arts,03/01/2021 01:00:00,d,196.7,Tuition,USD,8299,pmt,17,,,
19616194,Orange,10/07/2021 02:00:00,d,21.8,Internet bill,USD,,pmt,C,,,
19847714,Tele9,11/19/2021 01:00:00,d,18.6,Television bill,USD,,pmt,C,,,
19536279,Electro distribution,03/09/2021 01:00:00,d,66.1,Utilities payment,USD,,pmt,C,,,
23640269,Electro distribution,02/22/2021 01:00:00,d,77.9,Utilities payment,USD,,pmt,C,,,
24336861,Heating,03/03/2021 01:00:00,d,95.9,Utilities payment,USD,,pmt,C,,,
25378012,Heating,07/23/2021 02:00:00,d,67,Utilities payment,USD,,pmt,C,,,
25497564,Heating,05/01/2021 02:00:00,d,53.7,Utilities payment,USD,,pmt,C,,,
25577580,Book depository,02/17/2021 01:00:00,d,14.7,Amazon Kindle subscription,USD,,pmt,,,,
25644337,Jill,11/10/2021 01:00:00,d,31.8,Allowance,USD,,pmt,,,,
25661064,Swimming school,01/06/2021 01:00:00,d,27.1,Membership,USD,,pmt,,,,
25943368,Chevron,11/03/2021 01:00:00,d,77.1,Gasoline purchases,USD,5983,pmt,,,,
26007217,Amazon,08/11/2021 02:00:00,d,7.8,Book,USD,,pmt,,,,
26024259,Bank of America,06/25/2021 02:00:00,d,7.8,Revolut Silver subscription,USD,,fee,,,,
26174855,Hulu,02/12/2021 01:00:00,d,10.5,Netflix subscription,USD,,pmt,,,,
26246109,Hulu,08/06/2021 02:00:00,d,8.3,Netflix subscription,USD,,pmt,,,,
26383748,Book depository,12/06/2021 01:00:00,d,17.2,Book,USD,,pmt,,,,
26402275,Raiffeisen Leasing,03/19/2021 01:00:00,d,451,Financial leasing,USD,7394,pmt,,,,
26443996,Pet salon Rex,06/28/2021 02:00:00,d,10.3,Grooming,USD,,pmt,,,,
26599175,The barbers,11/05/2021 01:00:00,d,27.1,Haircut,USD,7230,pmt,,,,
26608760,"Auto registration agency ""Sport""",07/06/2021 02:00:00,d,284,"Yearly car registration ",USD,7542,pmt,,,,
26768209,Blue moon spa,04/02/2021 02:00:00,d,22.3,Massage,USD,8050,pmt,,,,
26901838,Revolut,04/17/2021 02:00:00,d,5.6,ATM withdrawal fee,USD,,fee,,,,
27088707,Claire Stevens,02/20/2021 01:00:00,c,300.8,Monthly rent,USD,,dep,,,,
27105360,Lily,09/02/2021 02:00:00,d,33.5,Medicine,USD,5912,pmt,,,,
27120629,Protetcta,07/27/2021 02:00:00,d,26.2,Doctor's appointment,USD,8011,pmt,,,,
27170962,Visa,06/03/2021 02:00:00,d,43,Pay with Mastercard,USD,,pmt,,,,
27447845,ToysRUS,10/28/2021 02:00:00,d,49.6,Dolls,USD,5945,pmt,,,,
27697612,Karate club,01/23/2021 01:00:00,d,29.9,Club membership,USD,,pmt,,,,
27739718,Office365,11/21/2021 01:00:00,d,17.1,TV,USD,5045,pmt,,,,
27776411,Generali,02/14/2021 01:00:00,d,45.5,Extended health insurance,USD,,pmt,,,,
27846899,,05/05/2021 02:00:00,d,190.3,ATM withdrawal,USD,,wdw,,,,
27921598,Delhaize,04/11/2021 02:00:00,d,82,Supermaket shopping,USD,5200,pmt,,,,
27976815,Fit and Fun,04/18/2021 02:00:00,d,25.8,Gym membership,USD,,pmt,,,,
28111114,Bank of America,11/22/2021 01:00:00,d,3.5,ATM withdrawal fee,USD,,fee,,,,
28133657,Lidl,04/08/2021 02:00:00,d,93.3,Supermaket shopping,USD,5200,pmt,,,,
28166245,Hulu,05/03/2021 02:00:00,d,9.3,Hulu subscription,USD,,pmt,,,,
28199360,Shell,07/20/2021 02:00:00,d,54.3,Gasoline purchases,USD,5983,pmt,,,,
28438926,Revolut,09/17/2021 02:00:00,d,3.7,Revolut Silver subscription,USD,,fee,,,,
29218165,Karate club,10/01/2021 02:00:00,d,22.5,Club membership,USD,,pmt,,,,
29290813,Book depository,07/21/2021 02:00:00,d,19.7,Amazon Kindle subscription,USD,,pmt,,,,
29322322,Chase,01/24/2021 01:00:00,d,400.4,Rent pay,USD,,pmt,,,,
29414113,Lidl,07/26/2021 02:00:00,d,88.5,Supermaket shopping,USD,5200,pmt,,,,
25728595,Lidl,02/11/2021 01:00:00,d,35.6,Supermaket shopping,USD,5499,pmt,38,,,
26744744,Lidl,01/09/2021 01:00:00,d,33.9,Supermaket shopping,USD,5499,pmt,38,,,
27801747,Lidl,05/16/2021 02:00:00,d,30.1,Supermaket shopping,USD,5499,pmt,38,,,
27881938,Lidl,05/08/2021 02:00:00,d,40.1,Supermaket shopping,USD,5499,pmt,38,,,
28237996,Delhaize,08/06/2021 02:00:00,d,34.8,Supermaket shopping,USD,5499,pmt,38,,,
28533093,Delhaize,08/09/2021 02:00:00,d,30.6,Supermaket shopping,USD,5499,pmt,38,,,
28632888,Delhaize,08/07/2021 02:00:00,d,33.1,Supermaket shopping,USD,5499,pmt,38,,,
29025706,Lidl,06/08/2021 02:00:00,d,34.7,Supermaket shopping,USD,5499,pmt,38,,,
29382356,Lidl,03/13/2021 01:00:00,d,34.9,Supermaket shopping,USD,5499,pmt,38,,,
25776549,Table tenis club PingPong,11/09/2021 01:00:00,d,15.3,Daily pool ticket,USD,5655,pmt,50,,,
27969440,Swimming pool Activa,02/26/2021 01:00:00,d,10.4,Daily pool ticket,USD,5655,pmt,50,,,
28801699,Table tenis club PingPong,10/06/2021 02:00:00,d,10.6,Table tennis 2 hrs,USD,5655,pmt,50,,,
25670793,New York Times,10/13/2021 02:00:00,d,3.6,New York Times,USD,5192,pmt,23,,,
25814966,Amazon,02/18/2021 01:00:00,d,20.6,Science fiction,USD,5192,pmt,23,,,
26260247,Music school,06/02/2021 02:00:00,d,187.4,Tuition,USD,8299,pmt,17,,,
27026831,Faculty of contemporary arts,04/08/2021 02:00:00,d,181.6,Tuition,USD,8299,pmt,17,,,
25666040,A1 Telecom,08/28/2021 02:00:00,d,17.2,Mobile phone bill,USD,,pmt,C,,,
26037089,Comcast,09/06/2021 02:00:00,d,11.8,Television bill,USD,,pmt,C,,,
26151806,T-Mobile,08/02/2021 02:00:00,d,15.8,Mobile phone bill,USD,,pmt,C,,,
27148066,Comcast,02/03/2021 01:00:00,d,11.3,Television bill,USD,,pmt,C,,,
27849453,Tele9,02/02/2021 01:00:00,d,11.6,Television bill,USD,,pmt,C,,,
28506860,A1 Telecom,01/25/2021 01:00:00,d,12.4,Mobile phone bill,USD,,pmt,C,,,
25869612,Hertz,05/02/2021 02:00:00,d,13.1,Taxi,USD,7519,pmt,B,,,
27315864,Hertz,07/16/2021 02:00:00,d,10.6,Car rent,USD,7519,pmt,B,,,
29252863,Sixt GmbH,05/23/2021 02:00:00,d,10,Car rent,USD,7519,pmt,B,,,
29576441,Bank of America,12/14/2021 01:00:00,d,4,ATM withdrawal fee,USD,,fee,,,,
29906504,Red Cross,06/18/2021 02:00:00,d,66.3,Charity,USD,,pmt,,,,
30305697,Earnest,10/08/2021 02:00:00,d,8.5,Charge pay,USD,,fee,,,,
30612835,Bank of America,12/03/2021 01:00:00,d,4,ATM withdrawal fee,USD,,fee,,,,
31000600,Amazon,12/15/2021 01:00:00,d,13.5,Book,USD,,pmt,,,,
31551099,Pet salon Rex,01/27/2021 01:00:00,d,10.7,Grooming,USD,,pmt,,,,
31635942,Adobe,12/16/2021 01:00:00,d,11.2,Games,USD,5045,pmt,,,,
31795569,Generali,02/21/2021 01:00:00,d,45.9,Extended health insurance,USD,,pmt,,,,
31849343,Delhaize,05/16/2021 02:00:00,d,83.9,Supermaket shopping,USD,5200,pmt,,,,
31859291,Lidl,06/24/2021 02:00:00,d,83.8,Supermaket shopping,USD,5200,pmt,,,,
31930196,Claire Stevens,01/06/2021 01:00:00,c,300.1,Monthly rent,USD,,dep,,,,
31946105,Emmezeta,04/16/2021 02:00:00,d,52.9,Appliances,USD,5712,pmt,,,,
31952674,Josh,01/01/2021 01:00:00,d,35.1,Allowance,USD,,pmt,,,,
32058742,Hulu,04/05/2021 02:00:00,d,9.5,Netflix subscription,USD,,pmt,,,,
32085157,Blue moon spa,07/21/2021 02:00:00,d,20.3,Spa treatment,USD,8050,pmt,,,,
32255175,Netflix,09/23/2021 02:00:00,d,7.3,Hulu subscription,USD,,pmt,,,,
32425141,Emmezeta,09/20/2021 02:00:00,d,42,Furniture,USD,5712,pmt,,,,
32481620,Save our kids,08/19/2021 02:00:00,d,78.3,Charity,USD,,pmt,,,,
32670635,Earnest,05/28/2021 02:00:00,d,9.6,Charge pay,USD,,fee,,,,
32671432,Legend,01/26/2021 01:00:00,d,273.4,Fotwear,USD,,pmt,,,,
32909323,Lending Club,05/07/2021 02:00:00,d,64,Loan Payment,USD,,pmt,,,,
32955143,Tax company,02/04/2021 01:00:00,d,2315,Tax pay,USD,9311,pmt,,,,
33000832,Revolut,04/15/2021 02:00:00,d,5.3,ATM withdrawal fee,USD,,fee,,,,
33092630,Red Cross,12/12/2021 01:00:00,d,48.9,Charity,USD,,pmt,,,,
33106431,,11/20/2021 01:00:00,d,221.7,ATM withdrawal,USD,,wdw,,,,
33401399,Adobe,12/28/2021 01:00:00,d,12.6,TV,USD,5045,pmt,,,,
33494785,Home cleaning service,12/16/2021 01:00:00,d,47.3,Cleaning,USD,,pmt,,,,
34041787,Connexus,10/09/2021 02:00:00,d,400.1,Rent pay,USD,,pmt,,,,
34319628,Hulu,02/02/2021 01:00:00,d,10,Netflix subscription,USD,,pmt,,,,
34448613,Real Estate,08/20/2021 02:00:00,d,151.4,Tax pay,USD,9311,pmt,,,,
34485388,Protetcta,09/04/2021 02:00:00,d,24,Doctor's appointment,USD,8011,pmt,,,,
34713137,Raiffeisen Leasing,05/02/2021 02:00:00,d,450.9,Financial leasing,USD,7394,pmt,,,,
34782681,Pet salon Rex,11/25/2021 01:00:00,d,10.9,Grooming,USD,,pmt,,,,
43126377,Jill,08/22/2021 02:00:00,d,37.4,Allowance,USD,,pmt,,,,
31456783,Delhaize,08/02/2021 02:00:00,d,35,Supermaket shopping,USD,5499,pmt,38,,,
31571587,Delhaize,03/27/2021 01:00:00,d,37.7,Supermaket shopping,USD,5499,pmt,38,,,
31677312,Lidl,03/19/2021 01:00:00,d,33.5,Supermaket shopping,USD,5499,pmt,38,,,
32475545,Delhaize,05/16/2021 02:00:00,d,39.9,Supermaket shopping,USD,5499,pmt,38,,,
33062101,Lidl,01/13/2021 01:00:00,d,37.1,Supermaket shopping,USD,5499,pmt,38,,,
30780970,City parkings,11/10/2021 01:00:00,d,1.9,Parking fee,USD,7523,pmt,5,,,
32891413,City parkings,09/19/2021 02:00:00,d,1.3,Parking fee,USD,7523,pmt,5,,,
34250943,City parkings,06/10/2021 02:00:00,d,1.4,Parking fee,USD,7523,pmt,5,,,
30567845,Table tenis club PingPong,06/11/2021 02:00:00,d,15.7,Table tennis 2 hrs,USD,5655,pmt,50,,,
30997470,Faculty of contemporary arts,12/19/2021 01:00:00,d,181,Tuition,USD,8299,pmt,17,,,
32085229,Music school,01/26/2021 01:00:00,d,169.9,Tuition,USD,8299,pmt,17,,,
29796533,T-Mobile,08/21/2021 02:00:00,d,13.2,Mobile phone bill,USD,,pmt,C,,,
30005272,A1 Telecom,09/18/2021 02:00:00,d,18.4,Mobile phone bill,USD,,pmt,C,,,
